job_id,job_title,company,location,employment_type,work_model,job_url,source,date_collected,job_description
"11,SAP Consultant Business Intelligence,All for One,Hamburg Hannover or Lübeck Germany,Full-time or Part-time,Hybrid,,All for One Careers,2026-05-13,All for One is looking for an SAP Consultant Business Intelligence to support SAP-based data modeling reporting and analytics projects for customers. The role involves creating data models and analyses from SAP Datasphere or SAP BW using SAP Analytics Cloud or SAP Business Objects; building ETL-based data flows and data refinement processes; automating reports and analyses for customers; optimizing processes and standards for reporting-relevant data; and translating new service-level reporting or analysis requirements into responsible reports and dashboards. The ideal candidate has a degree in business informatics computer science industrial engineering or comparable professional experience. Initial experience with SAP Business Warehouse or Business Objects is required. Interest in consulting strong social skills commitment teamwork and willingness to travel up to 40 percent are expected."
"12,Junior Data Engineer Martech,home24 SE,Berlin Germany,Full-time,Hybrid,,home24 Careers,2026-05-13,home24 is looking for a Junior Data Engineer Martech to support data-driven marketing technology solutions in Berlin. The role involves designing implementing and maintaining batch and streaming data pipelines; enhancing an AWS-based data platform using Apache Spark and functional programming practices; supporting data scientists and marketing stakeholders in operationalizing and scaling machine learning models; building analytical workflows for personalization customized user experiences and automated A B testing using SQL Scala and Python; contributing to data quality validation and monitoring; and implementing proof of concepts that connect data and business users. The ideal candidate has a degree in computer engineering computer science or a similar field with solid Python skills and experience in a JVM-based language such as Scala. Strong SQL knowledge familiarity with Apache Spark modern data lake architecture data engineering fundamentals and cloud experience with AWS or another provider are preferred. Fluent English is required."
"13,Database Developer,EY,Not specified,Not specified,Not specified,,EY Careers,2026-05-13,EY is looking for a Database Developer for the People Advisory Services team to support compliance-related software solutions for Short Term Business Travel. The role involves designing developing and maintaining data models and database artifacts on SAP HANA Cloud; creating CDS views; implementing and optimizing SQL logic views and queries; performing benchmarks; supporting backend services with efficient data access and RESTful API consumption; modernizing existing database solutions; working with cloud-based relational and non-relational storage; supporting database changes migration and operational processes in a cloud environment; and collaborating with backend frontend testing and business teams. The ideal candidate has strong relational database and data modeling knowledge; solid SQL skills; understanding of RESTful APIs Git CI CD SCRUM and agile development; and willingness to work in a modern cloud and data-oriented setup. Experience with Azure DevOps SAP HANA Cloud Linux Bash non-relational storage and JavaScript or TypeScript is an advantage. Fluent English is required."
"14,Data Engineer Microsoft Fabric,Not specified,Not specified,Not specified,Not specified,,User provided,2026-05-13,The company is looking for a Data Engineer Microsoft Fabric to develop operate and improve a central data platform for data-driven decision-making. The role involves building scalable data pipelines in Microsoft Fabric; developing a Lakehouse architecture; integrating internal and external data sources with focus on ERP systems such as Microsoft Dynamics 365 Business Central; creating data models and transformation logic using Python Spark and dbt; working with Git code reviews and CI CD; improving data quality and data governance standards; designing user-focused Power BI dashboards and reports; and collaborating with business departments to define KPIs requirements and data-driven use cases. The ideal candidate has a degree in business informatics data science or a comparable qualification plus at least three years of experience in data analytics data engineering or business intelligence. Strong Microsoft Fabric SQL Python scalable data processing data modeling data quality Git dbt and Power BI skills are required. ERP experience communication skills analytical thinking and strong understanding of user requirements are important."
"15,Trainee SAP Analytics,ORBIS SE,Saarbrücken Germany,Trainee,Hybrid,,ORBIS Careers,2026-05-13,ORBIS SE is looking for a Trainee SAP Analytics to support experienced consultants in designing and implementing customer-specific analytics solutions. The role involves learning customer processes and data structures; supporting the development of powerful data models with modern data warehouse technologies; contributing to reports dashboards planning applications and portal interfaces; and working with SAP Analytics technologies such as SAP Business Data Cloud SAP Datasphere SAP Analytics Cloud Data Lakehouses and AI integration. The ideal candidate has a degree in business informatics computer science business administration with IT focus software engineering applied computer science information management or a comparable field. Interest in business processes analytical thinking structured working style communication skills teamwork and willingness to learn SQL CDS Views Python ABAP basics and SAC scripting are expected. Very good German good English and moderate willingness to travel are required."
"16,Trainee Investment Limit Monitoring and Digital Transformation,Deka Vermögensmanagement,Frankfurt Niederrad Germany,Trainee,Not specified,,Deka Careers,2026-05-13,Deka Vermögensmanagement is looking for a Trainee in Investment Limit Monitoring and Digital Transformation to support fund restriction monitoring and digital transformation projects. The role involves learning all key areas of investment limit monitoring; coordinating investment restrictions with front office; coding monitoring algorithms in internal systems; monitoring compliance with investment limits for public and special funds; supporting AI and digital tool projects; working with IT and external software providers to improve monitoring systems; and contributing to analysis specification testing and system development. The ideal candidate has a completed Bachelor or Master degree with a focus on finance mathematics natural sciences business IT or a related field. Interest in securities derivatives fund business and capital market theory is expected. Strong data affinity analytical thinking numerical skills very good German MS Office skills and strong programming or database knowledge such as SQL or Python are required."
"17,Business Intelligence Team Support,Mercedes-Benz Bank AG,Stuttgart Germany,Permanent,Hybrid,,Mercedes-Benz Careers,2026-05-13,Mercedes-Benz Bank is looking for Business Intelligence team support starting September 2026 to help shape the transition into a new BI environment. The role involves supporting operational process control checks for monthly and quarterly closing; analyzing deviations and identifying root causes; deriving corrective actions; testing new developments in BI systems; validating BI product increments in integration and production environments; supporting end-to-end test methodology until go-live; and depending on interest supporting data modeling and data integration. The ideal candidate has a Bachelor degree in business informatics or a comparable field with strong data affinity analytical thinking and interest in data analysis business intelligence and agile methods. Experience with BI systems such as SAP BW SAP BW Analysis Process Designer SAP BA or MS Power BI is preferred. Knowledge of SAP environments SQL NoSQL MS SQL Python banking or financial services agile project work and AI-based process improvement is an advantage."
"18,Junior Data Analytics Consultant,Vesterling client,Rheine Germany,Permanent,Hybrid,,Vesterling Careers,2026-05-13,The client is looking for a Junior Data Analytics Consultant to work on BI and business intelligence consulting projects. The role involves creating data models dashboards reports and ETL pipelines using different project-specific tools; collaborating with customer teams developers and business users; supporting the operation of BI systems; and gradually taking on more project management responsibility. After onboarding remote work is possible. The ideal candidate has completed a relevant degree and has initial professional experience in BI consulting. Good knowledge of data models dashboards reporting ETL pipelines and BI tools is expected. Customer-facing communication skills project-related willingness to travel and good written and spoken German skills are required."
"19,Business Intelligence and Data Integration Specialist,Not specified,Not specified,Permanent,Hybrid,,User provided,2026-05-13,The company is looking for a Business Intelligence and Data Integration Specialist for an established securities institute in the financial sector. The role involves developing and optimizing data flows for a central data warehouse using Oracle and DataStage; modeling and transforming data with SQL for BI analyses and reports; designing implementing and maintaining ETL processes with IBM DataStage; further developing the BI portal and supporting integration with IBM Cognos; analyzing and optimizing database and query performance; supporting security administration and BI exchange and trading systems; creating technical documentation and data models; and supporting risk management with risk controlling data for analyses and reports. The ideal candidate has a degree in computer science business informatics mathematics or a comparable qualification plus initial experience in data integration data warehousing and business intelligence. Experience with Oracle databases IBM Cognos IBM DataStage and strong SQL knowledge are expected. Very good German good English and willingness to work occasional late shifts during exchange opening hours are required."
"20,Junior Business Intelligence Analyst,Meyer & Meyer,Osnabrück Lower Saxony Germany,Full-time,Hybrid,,LinkedIn,2026-05-13,Meyer & Meyer is looking for a Junior Business Intelligence Analyst to support the development of a data-driven company culture and improve BI solutions. The role involves ensuring data quality data integrity and performance of BI systems especially Qlik Cloud; implementing digital strategy solutions; gathering requirements from business departments; developing dashboards and reports for KPI monitoring; supporting technical interfaces to local IT systems; maintaining the Qlik ticket system; prioritizing requests; and contributing ideas for further BI development. The ideal candidate has a degree in business administration business informatics data science or a comparable qualification such as data and process analysis. Initial experience in business intelligence reporting or data analysis is preferred. Knowledge of Qlik Qlik View Qlik Script SQL databases relational or NoSQL systems and ETL processes is desirable. Business process understanding in logistics and supply chain is an advantage. Strong communication teamwork analytical thinking solution orientation fluent German and good English skills are required."
